period,Bajra,Moong,Masur,Peas/Chawali,Cauliflower,Okra (Lady finger),Beans,Drumstick,Orange,Cashew nut,ds
INDX042012,107.7,96.3,102.5,113.2,119.1,152.2,140.4,59.0,107.9,90.3,2012-04-01
INDX052012,109.3,96.0,107.4,123.1,0.0,92.6,137.4,59.5,109.9,96.1,2012-05-01
INDX062012,107.0,96.6,109.7,134.3,0.0,90.3,138.3,90.9,112.2,96.0,2012-06-01
INDX072012,113.9,103.6,115.2,147.4,0.0,87.0,111.2,94.1,0.0,99.5,2012-07-01
INDX082012,120.7,108.7,119.2,143.3,0.0,78.0,113.3,74.3,0.0,103.5,2012-08-01
INDX092012,121.7,108.4,119.0,153.8,134.6,75.1,90.3,64.8,0.0,103.1,2012-09-01
INDX102012,114.8,112.2,118.6,146.6,129.4,89.3,96.5,81.9,0.0,101.5,2012-10-01
INDX112012,120.4,113.5,118.1,131.8,101.7,94.2,113.1,114.0,113.3,102.7,2012-11-01
INDX122012,127.7,115.4,117.4,124.8,92.6,112.4,113.6,227.1,109.9,101.2,2012-12-01
INDX012013,131.6,116.9,119.8,118.4,103.1,112.7,106.4,189.2,109.7,103.0,2013-01-01
INDX022013,132.7,117.1,120.1,113.0,99.6,117.1,108.9,122.5,111.0,104.6,2013-02-01
INDX032013,132.5,118.3,119.5,123.2,103.6,115.8,136.9,69.3,110.0,98.3,2013-03-01
INDX042013,136.4,120.0,126.1,136.2,109.0,99.6,172.0,61.5,110.2,95.8,2013-04-01
INDX052013,137.6,118.9,127.1,139.7,0.0,61.5,179.2,69.5,120.1,96.7,2013-05-01
INDX062013,136.9,119.0,130.6,153.1,0.0,69.8,181.8,112.0,120.4,99.1,2013-06-01
INDX072013,135.3,118.0,131.5,151.7,0.0,86.5,119.1,134.3,0.0,101.9,2013-07-01
INDX082013,131.0,113.9,132.2,147.4,0.0,89.7,112.3,115.8,0.0,103.9,2013-08-01
INDX092013,130.9,117.5,132.7,157.1,146.4,91.6,131.9,115.3,0.0,106.6,2013-09-01
INDX102013,129.7,122.9,130.9,157.0,162.9,109.6,125.1,203.0,0.0,109.8,2013-10-01
INDX112013,129.5,126.4,134.1,150.2,178.3,142.8,99.5,256.9,108.0,113.5,2013-11-01
INDX122013,131.1,126.7,135.6,131.9,119.0,144.8,117.0,276.1,99.3,114.3,2013-12-01
INDX012014,132.3,126.5,136.4,103.4,99.6,142.4,109.2,273.4,95.2,115.3,2014-01-01
INDX022014,131.5,129.3,136.6,105.8,91.7,143.6,103.8,178.7,100.1,116.4,2014-02-01
INDX032014,133.6,132.6,140.8,116.7,97.9,134.5,109.5,88.3,109.2,115.3,2014-03-01
INDX042014,134.4,135.5,143.3,129.9,105.8,94.0,116.7,89.7,114.0,115.2,2014-04-01
INDX052014,134.6,137.8,145.5,135.6,0.0,61.3,148.8,94.4,119.9,107.7,2014-05-01
INDX062014,132.5,136.8,146.2,139.8,0.0,61.5,153.1,182.4,121.2,112.8,2014-06-01
INDX072014,134.4,142.5,147.9,145.7,0.0,89.9,135.3,133.0,0.0,115.3,2014-07-01
INDX082014,133.2,142.2,150.2,147.2,0.0,84.0,110.5,122.8,0.0,112.6,2014-08-01
INDX092014,133.9,141.2,152.6,146.4,162.0,85.8,90.3,147.7,0.0,116.5,2014-09-01
INDX102014,129.3,144.6,152.1,147.3,148.3,83.4,127.5,172.9,0.0,123.9,2014-10-01
INDX112014,125.6,148.5,153.9,136.5,129.7,106.5,129.0,276.0,106.8,124.5,2014-11-01
INDX122014,123.9,153.9,157.5,119.1,119.7,125.4,127.9,352.5,101.4,122.8,2014-12-01
INDX012015,125.0,159.1,166.8,113.6,110.7,137.8,99.5,379.2,106.6,127.8,2015-01-01
INDX022015,123.2,155.7,166.2,106.5,102.0,109.2,112.4,204.1,111.8,131.4,2015-02-01
INDX032015,124.8,150.7,164.9,124.7,102.7,110.2,107.6,121.5,112.3,128.5,2015-03-01
INDX042015,127.3,151.4,165.1,126.1,101.6,99.8,124.2,113.3,113.3,126.3,2015-04-01
INDX052015,126.7,155.7,177.0,136.9,0.0,74.4,176.5,151.8,114.7,131.7,2015-05-01
INDX062015,125.2,170.2,186.3,150.0,0.0,80.4,137.3,158.2,116.4,132.4,2015-06-01
INDX072015,124.3,165.3,188.4,142.1,0.0,77.1,134.8,129.7,0.0,134.9,2015-07-01
INDX082015,127.4,164.8,195.6,139.7,0.0,65.1,134.8,129.7,0.0,136.0,2015-08-01
INDX092015,132.2,167.5,195.1,148.2,123.6,65.4,134.8,129.7,0.0,138.6,2015-09-01
INDX102015,132.7,173.5,197.0,142.7,121.0,83.8,134.8,129.7,0.0,145.1,2015-10-01
INDX112015,135.3,178.1,198.8,140.3,122.0,94.7,134.8,129.7,94.2,144.2,2015-11-01
INDX122015,139.2,168.8,195.5,122.8,126.1,117.4,134.8,129.7,97.4,145.8,2015-12-01
INDX012016,142.9,167.1,190.5,120.5,111.9,125.3,134.8,129.7,105.4,142.7,2016-01-01
INDX022016,144.2,161.0,184.0,112.4,93.5,117.0,134.8,129.7,105.6,145.2,2016-02-01
INDX032016,147.7,158.7,182.3,112.4,87.5,95.6,134.8,129.7,108.1,144.4,2016-03-01
INDX042016,155.8,162.2,186.8,136.6,90.4,84.8,170.3,76.5,124.2,145.4,2016-04-01
INDX052016,162.6,161.9,190.2,146.3,0.0,79.7,203.5,102.8,124.6,148.5,2016-05-01
INDX062016,158.7,155.4,191.0,158.2,0.0,73.0,210.2,163.0,130.2,150.8,2016-06-01
INDX072016,159.6,150.4,190.7,156.6,0.0,79.2,110.7,139.7,0.0,150.5,2016-07-01
INDX082016,159.3,143.5,185.6,147.4,0.0,82.0,88.9,91.0,0.0,154.1,2016-08-01
INDX092016,155.1,134.7,182.0,147.4,154.1,80.8,110.9,91.9,0.0,164.8,2016-09-01
INDX102016,148.1,131.6,179.2,153.7,171.3,86.5,142.0,103.0,0.0,166.6,2016-10-01
INDX112016,151.0,127.4,176.8,152.2,145.4,74.0,125.3,138.6,124.5,165.6,2016-11-01
INDX122016,154.7,122.7,169.6,134.7,110.4,89.9,125.3,214.0,122.2,169.5,2016-12-01
INDX012017,151.9,119.7,161.1,120.2,88.0,112.8,116.9,229.6,121.7,171.7,2017-01-01
INDX022017,151.3,116.9,156.2,119.7,80.8,122.1,140.1,131.2,122.2,172.3,2017-02-01
INDX032017,152.6,115.4,154.0,122.2,104.8,115.3,175.4,89.0,122.6,171.1,2017-03-01
INDX042017,153.8,120.8,155.3,133.3,115.2,99.0,180.2,76.2,122.9,166.8,2017-04-01
INDX052017,153.2,120.1,148.5,136.1,0.0,97.3,187.3,112.8,126.5,170.9,2017-05-01
INDX062017,149.7,116.8,144.5,130.2,0.0,87.4,182.6,125.8,132.5,173.2,2017-06-01
INDX072017,145.4,113.0,137.5,137.6,0.0,104.9,154.7,162.9,0.0,173.8,2017-07-01
INDX082017,143.8,112.6,136.0,141.4,0.0,129.0,136.7,160.6,0.0,178.6,2017-08-01
INDX092017,139.4,112.9,138.3,142.3,118.8,98.5,143.5,176.8,0.0,179.9,2017-09-01
INDX102017,132.9,111.5,133.8,142.4,142.2,132.9,161.5,256.2,0.0,181.3,2017-10-01
INDX112017,130.2,109.8,130.9,141.2,141.5,149.2,148.6,254.2,125.1,177.6,2017-11-01
INDX122017,133.9,110.7,130.3,137.8,106.2,158.1,110.6,380.2,126.0,181.6,2017-12-01
INDX012018,131.7,112.2,126.7,130.0,92.0,160.2,92.6,315.7,123.3,183.5,2018-01-01
INDX022018,127.9,113.0,122.1,127.3,76.6,151.3,71.6,218.5,123.7,182.6,2018-02-01
INDX032018,126.8,114.1,120.6,129.0,68.5,154.4,75.4,112.5,121.2,181.0,2018-03-01
INDX042018,127.0,111.5,120.8,145.5,80.8,114.8,83.0,97.1,123.7,177.3,2018-04-01
INDX052018,128.1,113.0,120.7,149.9,0.0,80.2,99.3,103.0,136.1,173.7,2018-05-01
INDX062018,129.5,112.4,117.8,150.5,0.0,83.3,114.2,134.0,145.1,171.5,2018-06-01
INDX072018,132.9,115.0,117.9,154.0,0.0,114.7,99.0,148.6,0.0,172.9,2018-07-01
INDX082018,138.2,118.9,121.0,158.4,0.0,128.7,84.5,117.1,0.0,173.2,2018-08-01
INDX092018,141.7,119.8,121.8,157.6,174.9,110.3,100.9,112.7,0.0,170.8,2018-09-01
INDX102018,148.6,118.1,121.7,183.0,178.5,117.1,119.9,128.7,0.0,168.6,2018-10-01
INDX112018,161.7,121.6,121.2,203.9,161.0,108.3,125.7,199.1,108.4,171.3,2018-11-01
INDX122018,165.1,123.0,124.6,189.9,132.3,135.6,116.3,219.3,93.9,170.9,2018-12-01
INDX012019,171.2,125.8,127.5,167.7,130.5,166.2,113.1,269.8,94.7,169.7,2019-01-01
INDX022019,178.3,128.2,129.5,155.7,114.0,173.3,105.3,227.5,99.2,165.7,2019-02-01
INDX032019,182.0,127.8,130.1,168.2,149.2,168.5,122.0,106.3,101.3,163.3,2019-03-01
INDX042019,188.0,128.2,131.8,179.0,178.9,142.4,134.1,79.5,112.3,159.2,2019-04-01
INDX052019,194.7,130.9,134.9,185.1,0.0,119.6,142.8,95.9,117.7,156.9,2019-05-01
INDX062019,195.3,135.6,137.1,189.9,0.0,87.0,157.4,120.4,120.1,158.8,2019-06-01
INDX072019,199.6,137.1,137.5,190.7,0.0,91.8,150.4,192.5,0.0,157.1,2019-07-01
INDX082019,200.4,137.2,137.3,194.9,0.0,87.6,143.1,161.8,0.0,155.2,2019-08-01
INDX092019,195.9,138.7,137.3,199.9,191.1,80.3,134.0,156.8,0.0,158.0,2019-09-01
INDX102019,184.9,139.7,137.0,200.6,227.7,110.2,142.1,178.7,0.0,160.3,2019-10-01
INDX112019,188.4,146.7,140.5,202.4,246.1,156.7,134.9,321.4,120.2,161.7,2019-11-01
INDX122019,194.7,149.6,143.2,177.4,196.6,196.2,136.1,601.4,111.4,163.3,2019-12-01
INDX012020,201.6,151.3,147.9,182.4,198.3,191.9,145.2,472.0,111.6,163.7,2020-01-01
INDX022020,193.7,156.6,147.1,182.3,154.7,191.1,117.8,248.9,99.0,163.1,2020-02-01
INDX032020,187.5,162.0,146.0,180.1,142.9,173.0,108.4,127.3,96.7,159.6,2020-03-01
INDX042020,188.9,174.2,149.7,187.8,160.7,156.0,146.5,105.3,104.7,160.3,2020-04-01
INDX052020,185.0,179.7,150.8,194.9,0.0,97.5,149.3,98.7,115.0,160.4,2020-05-01
INDX062020,176.1,176.1,155.1,199.6,0.0,87.6,143.9,138.8,121.0,159.1,2020-06-01
INDX072020,167.3,173.6,157.5,200.0,0.0,82.6,108.4,157.1,0.0,154.8,2020-07-01
INDX082020,161.1,170.4,158.0,202.4,0.0,93.7,124.3,173.6,0.0,156.8,2020-08-01
INDX092020,155.7,164.3,159.0,205.1,226.4,131.6,173.1,228.7,0.0,156.7,2020-09-01
INDX102020,155.4,162.6,162.8,213.5,239.6,161.0,196.0,228.2,0.0,158.5,2020-10-01
INDX112020,154.2,165.1,166.3,230.2,215.1,131.4,166.5,255.7,130.4,161.7,2020-11-01
INDX122020,150.0,168.5,163.8,187.1,162.2,152.2,134.4,208.2,110.8,158.8,2020-12-01
INDX012021,148.3,166.7,165.4,172.9,141.1,194.1,137.7,345.8,117.7,164.7,2021-01-01
INDX022021,145.7,169.7,166.3,178.6,137.3,225.9,165.8,307.7,154.4,161.8,2021-02-01
INDX032021,146.9,169.2,168.4,188.7,139.1,190.4,147.2,232.5,186.1,162.1,2021-03-01
INDX042021,146.6,169.7,171.9,217.7,159.7,149.7,152.1,102.6,253.8,158.3,2021-04-01
INDX052021,149.1,169.6,176.1,219.0,0.0,120.5,152.3,103.2,285.7,154.4,2021-05-01
INDX062021,150.1,167.4,179.6,216.5,0.0,129.4,181.2,194.0,284.9,152.5,2021-06-01
INDX072021,153.9,163.5,179.9,214.0,0.0,153.0,141.1,181.9,0.0,150.4,2021-07-01
INDX082021,161.1,162.5,184.0,217.6,0.0,113.0,129.9,147.2,0.0,156.9,2021-08-01
INDX092021,166.4,164.9,197.3,219.0,231.2,97.8,130.2,161.5,0.0,163.0,2021-09-01
INDX102021,164.8,166.3,203.3,209.7,250.1,129.2,158.7,251.6,0.0,167.5,2021-10-01
INDX112021,172.6,164.7,203.4,237.0,293.1,195.6,172.5,335.6,168.2,168.3,2021-11-01
INDX122021,183.4,165.1,201.7,199.2,282.0,274.4,200.5,581.4,177.7,163.0,2021-12-01
INDX012022,183.2,164.1,202.9,191.4,245.7,279.8,181.3,698.3,184.7,162.3,2022-01-01
INDX022022,187.7,166.1,204.9,195.1,208.7,273.7,148.6,525.5,201.2,160.3,2022-02-01
INDX032022,196.4,168.8,205.5,187.9,184.5,212.1,133.4,275.8,223.6,160.8,2022-03-01
INDX042022,205.4,167.7,202.8,209.6,209.2,179.6,152.9,129.9,254.0,161.6,2022-04-01
INDX052022,209.3,166.3,202.5,223.5,0.0,106.6,184.2,150.9,259.0,163.2,2022-05-01
INDX062022,207.0,165.1,200.6,220.6,0.0,88.7,188.5,208.4,265.4,161.1,2022-06-01
INDX072022,208.0,166.2,202.1,218.3,0.0,102.8,198.8,153.3,0.0,157.1,2022-07-01
INDX082022,214.3,167.6,204.4,230.1,0.0,113.7,204.5,159.9,0.0,154.9,2022-08-01
INDX092022,212.8,166.2,199.7,235.7,291.7,125.3,200.1,223.7,0.0,155.1,2022-09-01
INDX102022,201.5,166.2,199.8,250.2,329.0,144.2,185.0,310.6,0.0,154.1,2022-10-01
INDX112022,209.7,165.7,202.1,223.1,234.2,132.6,163.4,374.4,188.9,153.9,2022-11-01
INDX122022,219.2,168.2,199.8,175.9,164.3,152.6,121.5,485.2,187.8,153.5,2022-12-01
INDX012023,224.1,167.7,199.0,160.4,161.1,246.8,129.5,480.1,215.9,150.2,2023-01-01
INDX022023,219.6,167.8,196.3,160.2,148.4,266.9,143.4,407.5,239.0,152.4,2023-02-01
INDX032023,225.1,172.8,194.6,166.9,163.5,263.4,166.3,257.6,242.5,151.8,2023-03-01
INDX042023,229.6,180.8,192.1,195.5,176.9,212.0,223.3,140.1,280.5,154.8,2023-04-01
INDX052023,229.4,178.6,188.1,199.5,0.0,147.0,207.1,142.5,284.2,150.4,2023-05-01
INDX062023,226.7,184.8,187.7,196.0,0.0,121.7,225.1,192.7,293.1,146.7,2023-06-01
INDX072023,226.9,188.7,186.6,215.9,0.0,177.9,248.2,166.5,0.0,145.4,2023-07-01
INDX082023,225.9,189.4,186.9,219.8,0.0,130.6,220.5,138.3,0.0,145.7,2023-08-01
INDX092023,225.7,199.7,192.6,227.4,230.3,94.0,172.8,102.7,0.0,146.3,2023-09-01
INDX102023,231.5,205.6,189.5,237.6,244.6,123.5,224.5,258.2,0.0,147.0,2023-10-01
